date,ret_1d,ret_2d,ret_5d,ret_10d,ret_21d,rsi,macd,atr,stoch,ultosc,pe,pb,ps,evebitda,marketcap_log,roe,roa,debt_equity,revenue_growth,fcf_yield,close
2022-04-08,0.04513924,-0.0024069,0.04759743,-0.01170159,0.03331741,51.5531,2.17609924,14.546833,-36.8342,20.0061,,,,,,,,,,,447.63
2022-04-11,-0.05954248,-0.01709094,-0.05745791,-0.03695239,-0.06997238,46.6692,1.62211339,14.096345,43.9901,-0.515,,,,,,,,,,,420.977
2022-04-11,0.0452115,-0.01702299,0.02459913,-0.03656587,0.00855418,50.2908,1.2216597,14.805392,-24.908,18.5968,,,,,,,,,,,440.01
2022-04-12,-0.04680121,-0.00370567,-0.0652827,-0.02824554,-0.07992322,46.6033,0.60709573,14.397864,23.6281,-1.4273,,,,,,,,,,,419.417
2022-04-12,0.04497433,-0.00393173,0.02330859,-0.02869933,-0.00768665,50.205,0.19011251,15.244659,-31.1314,15.5959,,,,,,,,,,,438.28
2022-04-13,-0.03207767,0.01145399,-0.05229542,-0.00718712,-0.08095713,47.6265,-0.30590843,14.603612,14.5656,-1.1858,,,,,,,,,,,424.221
2022-04-13,0.04504492,0.01152231,0.05309791,-0.00741089,0.00998296,51.2885,-0.51989626,14.977568,-38.0217,17.5603,,,,,,,,,,,443.33
2022-04-14,-0.05501996,-0.01245341,-0.04788982,-0.02446873,-0.08654471,46.7911,-0.93386879,14.411313,46.7556,-2.2097,,,,,,,,,,,418.938
2022-04-14,0.04538142,-0.01213543,0.04418753,-0.02397985,0.01332278,50.439,-1.14603289,15.22172,-23.5615,16.678,,,,,,,,,,,437.95
2022-04-18,-0.04301633,0.00041295,-0.04373688,-0.02144773,-0.07235281,47.0004,-1.51853858,14.430168,48.1246,-1.4664,,,,,,,,,,,419.111
2022-04-18,0.04509307,0.000137,0.03250428,-0.02149096,0.01059718,50.6361,-1.66703236,14.871513,-43.9936,17.7943,,,,,,,,,,,438.01
2022-04-19,-0.02770256,0.01614131,-0.03937022,0.01163722,-0.05973108,48.3431,-1.85712689,14.389262,11.9536,1.8566,,,,,,,,,,,425.876
2022-04-19,0.04469376,0.01575306,0.06199485,0.01113611,0.01779791,52.014,-1.75542178,14.783886,-57.5325,19.8041,,,,,,,,,,,444.91
2022-04-20,-0.04349194,-0.000742,-0.0282909,0.01464652,-0.06820521,48.2594,-1.78087084,14.020037,43.866,-1.0703,,,,,,,,,,,425.56
2022-04-20,0.04499953,-0.00044953,0.06107928,0.01467099,0.03035625,51.9556,-1.57509757,14.590035,-52.4785,20.3145,,,,,,,,,,,444.71
2022-04-21,-0.05736997,-0.01495206,-0.04295107,-0.01184288,-0.0709904,47.1255,-1.63864064,14.470032,78.9554,-0.3546,,,,,,,,,,,419.197
2022-04-21,0.04466396,-0.01526838,0.02828053,-0.0122031,0.02487292,50.7444,-1.56520561,15.635959,-23.3252,17.4584,,,,,,,,,,,437.92
2022-04-22,-0.06902174,-0.02744056,-0.08364838,-0.02683929,-0.08719774,45.3483,-1.88843572,15.422104,15.505,-0.718,,,,,,,,,,,407.694
2022-04-22,0.04502396,-0.02710541,0.00115142,-0.02717205,-0.00790786,48.902,-2.1461802,16.425954,-20.3833,12.9003,,,,,,,,,,,426.05
2022-04-25,-0.0375355,0.00579847,-0.07792044,-0.02160048,-0.08614027,46.0901,-2.5996196,15.956243,-4.4648,1.3875,,,,,,,,,,,410.058
2022-04-25,0.04512045,0.00589133,0.02233556,-0.02157485,0.00061406,49.6941,-2.8508331,16.146654,-29.3532,16.8713,,,,,,,,,,,428.56
2022-04-26,-0.07088389,-0.02896176,-0.0907426,-0.06502832,-0.11046623,44.4409,-3.4402919,15.885465,36.1396,1.1667,,,,,,,,,,,398.182
2022-04-26,0.04497441,-0.02909744,0.02059388,-0.06477715,-0.01160871,47.9351,-3.9173031,16.737074,-7.2129,15.7092,,,,,,,,,,,416.09
2022-04-27,-0.04034704,0.00281278,-0.06278136,-0.06170223,-0.09251608,45.0733,-4.55774302,16.106569,12.3714,1.4733,,,,,,,,,,,399.302
2022-04-27,0.04479817,0.00264366,0.01739266,-0.06188302,-0.00530975,48.5949,-4.97126336,16.6431,-19.0927,17.1748,,,,,,,,,,,417.19
2022-04-28,-0.01870131,0.02525908,-0.04473586,-0.0233995,-0.06592133,47.1742,-5.33402333,16.343593,-2.1752,6.536,,,,,,,,,,,409.388
